,0
ACN,0.008086305414281274
ADP,-0.0011895771573031454
ALLE,-0.011039201388049803
ALL,-0.011264349037277452
ANET,0.005339452149838958
T,0.01171964503013452
ATO,0.0022428946448075976
BDX,-0.004467099081707757
BLK,-0.022581596937229453
BWA,-0.0018571230661883842
CRL,-0.003976713615379815
CI,-0.0011128555614731814
COP,-0.006362322982206997
DHR,-0.005931563701371964
DISCA,-0.0019877465815330104
ECL,-0.0027622566762236737
FBHS,-0.03829730349533234
GD,-0.00985733791979716
HSY,-0.004139638465902482
HES,-0.011352214342909896
